modulus_bitlength,num_input_qubits,num_shots,pp_success_probability,details
512,224,1,0.9999,"{""z"": 56, ""m"": 112, ""sigma"": 0, ""s"": 1, ""l"": 112, ""algorithms"": [""E19p""]}"
512,176,3,0.99,"{""z"": 56, ""m"": 112, ""sigma"": 8, ""s"": 2, ""l"": 56, ""algorithms"": [""E19p""]}"
512,158,4,0.99,"{""z"": 56, ""m"": 112, ""sigma"": 8, ""s"": 3, ""l"": 38, ""algorithms"": [""E19p""]}"
512,149,6,0.99,"{""z"": 56, ""m"": 112, ""sigma"": 9, ""s"": 4, ""l"": 28, ""algorithms"": [""E19p""]}"
512,144,8,0.99,"{""z"": 56, ""m"": 112, ""sigma"": 9, ""s"": 5, ""l"": 23, ""algorithms"": [""E19p""]}"
512,140,11,0.99,"{""z"": 56, ""m"": 112, ""sigma"": 9, ""s"": 6, ""l"": 19, ""algorithms"": [""E19p""]}"
512,138,14,0.99,"{""z"": 56, ""m"": 112, ""sigma"": 10, ""s"": 7, ""l"": 16, ""algorithms"": [""E19p""]}"
512,136,20,0.99,"{""z"": 56, ""m"": 112, ""sigma"": 10, ""s"": 8, ""l"": 14, ""algorithms"": [""E19p""]}"
512,136,23,0.99,"{""z"": 56, ""m"": 112, ""sigma"": 11, ""s"": 9, ""l"": 13, ""algorithms"": [""E19p""]}"
512,135,32,0.99,"{""z"": 56, ""m"": 112, ""sigma"": 11, ""s"": 10, ""l"": 12, ""algorithms"": [""E19p""]}"
768,288,1,0.9999,"{""z"": 72, ""m"": 144, ""sigma"": 0, ""s"": 1, ""l"": 144, ""algorithms"": [""E19p""]}"
768,224,3,0.99,"{""z"": 72, ""m"": 144, ""sigma"": 8, ""s"": 2, ""l"": 72, ""algorithms"": [""E19p""]}"
768,200,4,0.99,"{""z"": 72, ""m"": 144, ""sigma"": 8, ""s"": 3, ""l"": 48, ""algorithms"": [""E19p""]}"
768,189,6,0.99,"{""z"": 72, ""m"": 144, ""sigma"": 9, ""s"": 4, ""l"": 36, ""algorithms"": [""E19p""]}"
768,182,7,0.99,"{""z"": 72, ""m"": 144, ""sigma"": 9, ""s"": 5, ""l"": 29, ""algorithms"": [""E19p""]}"
768,177,9,0.99,"{""z"": 72, ""m"": 144, ""sigma"": 9, ""s"": 6, ""l"": 24, ""algorithms"": [""E19p""]}"
768,175,11,0.99,"{""z"": 72, ""m"": 144, ""sigma"": 10, ""s"": 7, ""l"": 21, ""algorithms"": [""E19p""]}"
768,172,15,0.99,"{""z"": 72, ""m"": 144, ""sigma"": 10, ""s"": 8, ""l"": 18, ""algorithms"": [""E19p""]}"
768,170,19,0.99,"{""z"": 72, ""m"": 144, ""sigma"": 10, ""s"": 9, ""l"": 16, ""algorithms"": [""E19p""]}"
768,170,21,0.99,"{""z"": 72, ""m"": 144, ""sigma"": 11, ""s"": 10, ""l"": 15, ""algorithms"": [""E19p""]}"
1024,320,1,0.9999,"{""z"": 80, ""m"": 160, ""sigma"": 0, ""s"": 1, ""l"": 160, ""algorithms"": [""E19p""]}"
1024,248,3,0.99,"{""z"": 80, ""m"": 160, ""sigma"": 8, ""s"": 2, ""l"": 80, ""algorithms"": [""E19p""]}"
1024,222,4,0.99,"{""z"": 80, ""m"": 160, ""sigma"": 8, ""s"": 3, ""l"": 54, ""algorithms"": [""E19p""]}"
1024,208,5,0.99,"{""z"": 80, ""m"": 160, ""sigma"": 8, ""s"": 4, ""l"": 40, ""algorithms"": [""E19p""]}"
1024,201,7,0.99,"{""z"": 80, ""m"": 160, ""sigma"": 9, ""s"": 5, ""l"": 32, ""algorithms"": [""E19p""]}"
1024,196,9,0.99,"{""z"": 80, ""m"": 160, ""sigma"": 9, ""s"": 6, ""l"": 27, ""algorithms"": [""E19p""]}"
1024,192,11,0.99,"{""z"": 80, ""m"": 160, ""sigma"": 9, ""s"": 7, ""l"": 23, ""algorithms"": [""E19p""]}"
1024,190,14,0.99,"{""z"": 80, ""m"": 160, ""sigma"": 10, ""s"": 8, ""l"": 20, ""algorithms"": [""E19p""]}"
1024,188,17,0.99,"{""z"": 80, ""m"": 160, ""sigma"": 10, ""s"": 9, ""l"": 18, ""algorithms"": [""E19p""]}"
1024,186,22,0.99,"{""z"": 80, ""m"": 160, ""sigma"": 10, ""s"": 10, ""l"": 16, ""algorithms"": [""E19p""]}"
1536,384,1,0.9999,"{""z"": 96, ""m"": 192, ""sigma"": 0, ""s"": 1, ""l"": 192, ""algorithms"": [""E19p""]}"
1536,296,3,0.99,"{""z"": 96, ""m"": 192, ""sigma"": 8, ""s"": 2, ""l"": 96, ""algorithms"": [""E19p""]}"
1536,264,4,0.99,"{""z"": 96, ""m"": 192, ""sigma"": 8, ""s"": 3, ""l"": 64, ""algorithms"": [""E19p""]}"
