modulus_bitlength,num_input_qubits,num_shots,pp_success_probability,details
512,236,1,0.999,"{""z"": 56, ""m"": 112, ""delta"": 50, ""l"": 62, ""pp_tau"": 10, ""pp_t"": 29, ""pp_complexity"": 33.6, ""algorithms"": [""EH17"", ""E23p""]}"
512,276,1,0.9999,"{""z"": 56, ""m"": 112, ""delta"": 30, ""l"": 82, ""pp_tau"": 14, ""pp_t"": 17, ""pp_complexity"": 25.6, ""algorithms"": [""EH17"", ""E23p""]}"
512,296,1,0.999999,"{""z"": 56, ""m"": 112, ""delta"": 20, ""l"": 92, ""pp_tau"": 20, ""pp_t"": 14, ""pp_complexity"": 23.6, ""algorithms"": [""EH17"", ""E23p""]}"
512,336,1,0.9999999999,"{""z"": 56, ""m"": 112, ""delta"": 0, ""l"": 112, ""pp_tau"": 32, ""pp_t"": 2, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
512,224,3,0.99,"{""z"": 56, ""m"": 112, ""s"": 2, ""l"": 56, ""algorithms"": [""EH17"", ""E20""]}"
512,188,4,0.99,"{""z"": 56, ""m"": 112, ""s"": 3, ""l"": 38, ""algorithms"": [""EH17"", ""E20""]}"
512,168,6,0.99,"{""z"": 56, ""m"": 112, ""s"": 4, ""l"": 28, ""algorithms"": [""EH17"", ""E20""]}"
512,158,8,0.99,"{""z"": 56, ""m"": 112, ""s"": 5, ""l"": 23, ""algorithms"": [""EH17"", ""E20""]}"
512,150,11,0.99,"{""z"": 56, ""m"": 112, ""s"": 6, ""l"": 19, ""algorithms"": [""EH17"", ""E20""]}"
512,144,16,0.99,"{""z"": 56, ""m"": 112, ""s"": 7, ""l"": 16, ""algorithms"": [""EH17"", ""E20""]}"
512,140,22,0.99,"{""z"": 56, ""m"": 112, ""s"": 8, ""l"": 14, ""algorithms"": [""EH17"", ""E20""]}"
512,138,28,0.99,"{""z"": 56, ""m"": 112, ""s"": 9, ""l"": 13, ""algorithms"": [""EH17"", ""E20""]}"
512,136,37,0.99,"{""z"": 56, ""m"": 112, ""s"": 10, ""l"": 12, ""algorithms"": [""EH17"", ""E20""]}"
768,332,1,0.999,"{""z"": 72, ""m"": 144, ""delta"": 50, ""l"": 94, ""pp_tau"": 10, ""pp_t"": 29, ""pp_complexity"": 33.6, ""algorithms"": [""EH17"", ""E23p""]}"
768,372,1,0.9999,"{""z"": 72, ""m"": 144, ""delta"": 30, ""l"": 114, ""pp_tau"": 14, ""pp_t"": 17, ""pp_complexity"": 25.6, ""algorithms"": [""EH17"", ""E23p""]}"
768,392,1,0.999999,"{""z"": 72, ""m"": 144, ""delta"": 20, ""l"": 124, ""pp_tau"": 20, ""pp_t"": 14, ""pp_complexity"": 23.6, ""algorithms"": [""EH17"", ""E23p""]}"
768,432,1,0.9999999999,"{""z"": 72, ""m"": 144, ""delta"": 0, ""l"": 144, ""pp_tau"": 32, ""pp_t"": 2, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
768,288,3,0.99,"{""z"": 72, ""m"": 144, ""s"": 2, ""l"": 72, ""algorithms"": [""EH17"", ""E20""]}"
768,240,4,0.99,"{""z"": 72, ""m"": 144, ""s"": 3, ""l"": 48, ""algorithms"": [""EH17"", ""E20""]}"
