modulus_bitlength,num_input_qubits,num_shots,pp_success_probability,details
512,236,1,0.999,"{""z"": 56, ""m"": 112, ""delta"": 50, ""l"": 62, ""pp_tau"": 10, ""pp_t"": 29, ""pp_complexity"": 33.6, ""algorithms"": [""EH17"", ""E23p""]}"
512,276,1,0.9999,"{""z"": 56, ""m"": 112, ""delta"": 30, ""l"": 82, ""pp_tau"": 14, ""pp_t"": 17, ""pp_complexity"": 25.6, ""algorithms"": [""EH17"", ""E23p""]}"
512,296,1,0.999999,"{""z"": 56, ""m"": 112, ""delta"": 20, ""l"": 92, ""pp_tau"": 20, ""pp_t"": 14, ""pp_complexity"": 23.6, ""algorithms"": [""EH17"", ""E23p""]}"
512,336,1,0.9999999999,"{""z"": 56, ""m"": 112, ""delta"": 0, ""l"": 112, ""pp_tau"": 32, ""pp_t"": 2, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
768,332,1,0.999,"{""z"": 72, ""m"": 144, ""delta"": 50, ""l"": 94, ""pp_tau"": 10, ""pp_t"": 29, ""pp_complexity"": 33.6, ""algorithms"": [""EH17"", ""E23p""]}"
768,372,1,0.9999,"{""z"": 72, ""m"": 144, ""delta"": 30, ""l"": 114, ""pp_tau"": 14, ""pp_t"": 17, ""pp_complexity"": 25.6, ""algorithms"": [""EH17"", ""E23p""]}"
768,392,1,0.999999,"{""z"": 72, ""m"": 144, ""delta"": 20, ""l"": 124, ""pp_tau"": 20, ""pp_t"": 14, ""pp_complexity"": 23.6, ""algorithms"": [""EH17"", ""E23p""]}"
768,432,1,0.9999999999,"{""z"": 72, ""m"": 144, ""delta"": 0, ""l"": 144, ""pp_tau"": 32, ""pp_t"": 2, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
1024,380,1,0.999,"{""z"": 80, ""m"": 160, ""delta"": 50, ""l"": 110, ""pp_tau"": 10, ""pp_t"": 29, ""pp_complexity"": 33.6, ""algorithms"": [""EH17"", ""E23p""]}"
1024,420,1,0.9999,"{""z"": 80, ""m"": 160, ""delta"": 30, ""l"": 130, ""pp_tau"": 14, ""pp_t"": 17, ""pp_complexity"": 25.6, ""algorithms"": [""EH17"", ""E23p""]}"
1024,440,1,0.999999,"{""z"": 80, ""m"": 160, ""delta"": 20, ""l"": 140, ""pp_tau"": 20, ""pp_t"": 14, ""pp_complexity"": 23.6, ""algorithms"": [""EH17"", ""E23p""]}"
1024,480,1,0.9999999999,"{""z"": 80, ""m"": 160, ""delta"": 0, ""l"": 160, ""pp_tau"": 32, ""pp_t"": 2, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
1536,476,1,0.999,"{""z"": 96, ""m"": 192, ""delta"": 50, ""l"": 142, ""pp_tau"": 10, ""pp_t"": 29, ""pp_complexity"": 33.6, ""algorithms"": [""EH17"", ""E23p""]}"
1536,516,1,0.9999,"{""z"": 96, ""m"": 192, ""delta"": 30, ""l"": 162, ""pp_tau"": 14, ""pp_t"": 17, ""pp_complexity"": 25.6, ""algorithms"": [""EH17"", ""E23p""]}"
1536,536,1,0.999999,"{""z"": 96, ""m"": 192, ""delta"": 20, ""l"": 172, ""pp_tau"": 20, ""pp_t"": 14, ""pp_complexity"": 23.6, ""algorithms"": [""EH17"", ""E23p""]}"
