modulus_bitlength,num_input_qubits,num_shots,pp_success_probability,details
512,665,1,0.999,"{""z"": 56, ""m"": 255, ""delta"": 50, ""l"": 205, ""pp_tau"": 11, ""pp_t"": 27, ""pp_complexity"": 34.1, ""algorithms"": [""EH17"", ""E23p""]}"
512,705,1,0.9999,"{""z"": 56, ""m"": 255, ""delta"": 30, ""l"": 225, ""pp_tau"": 16, ""pp_t"": 17, ""pp_complexity"": 26.6, ""algorithms"": [""EH17"", ""E23p""]}"
512,723,1,0.9999,"{""z"": 56, ""m"": 255, ""delta"": 21, ""l"": 234, ""pp_tau"": 16, ""pp_t"": 12, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
512,725,1,0.999,"{""z"": 56, ""m"": 255, ""delta"": 20, ""l"": 235, ""pp_tau"": 11, ""pp_t"": 12, ""pp_complexity"": 19.1, ""algorithms"": [""EH17"", ""E23p""]}"
512,511,3,0.99,"{""z"": 56, ""m"": 255, ""s"": 2, ""l"": 128, ""algorithms"": [""EH17"", ""E20""]}"
512,425,4,0.99,"{""z"": 56, ""m"": 255, ""s"": 3, ""l"": 85, ""algorithms"": [""EH17"", ""E20""]}"
512,383,5,0.99,"{""z"": 56, ""m"": 255, ""s"": 4, ""l"": 64, ""algorithms"": [""EH17"", ""E20""]}"
512,357,6,0.99,"{""z"": 56, ""m"": 255, ""s"": 5, ""l"": 51, ""algorithms"": [""EH17"", ""E20""]}"
512,341,8,0.99,"{""z"": 56, ""m"": 255, ""s"": 6, ""l"": 43, ""algorithms"": [""EH17"", ""E20""]}"
512,329,9,0.99,"{""z"": 56, ""m"": 255, ""s"": 7, ""l"": 37, ""algorithms"": [""EH17"", ""E20""]}"
512,319,11,0.99,"{""z"": 56, ""m"": 255, ""s"": 8, ""l"": 32, ""algorithms"": [""EH17"", ""E20""]}"
512,313,13,0.99,"{""z"": 56, ""m"": 255, ""s"": 9, ""l"": 29, ""algorithms"": [""EH17"", ""E20""]}"
512,307,15,0.99,"{""z"": 56, ""m"": 255, ""s"": 10, ""l"": 26, ""algorithms"": [""EH17"", ""E20""]}"
512,303,17,0.99,"{""z"": 56, ""m"": 255, ""s"": 11, ""l"": 24, ""algorithms"": [""EH17"", ""E20""]}"
512,299,20,0.99,"{""z"": 56, ""m"": 255, ""s"": 12, ""l"": 22, ""algorithms"": [""EH17"", ""E20""]}"
512,295,23,0.99,"{""z"": 56, ""m"": 255, ""s"": 13, ""l"": 20, ""algorithms"": [""EH17"", ""E20""]}"
768,1049,1,0.999,"{""z"": 72, ""m"": 383, ""delta"": 50, ""l"": 333, ""pp_tau"": 11, ""pp_t"": 27, ""pp_complexity"": 34.1, ""algorithms"": [""EH17"", ""E23p""]}"
768,1089,1,0.9999,"{""z"": 72, ""m"": 383, ""delta"": 30, ""l"": 353, ""pp_tau"": 16, ""pp_t"": 17, ""pp_complexity"": 26.6, ""algorithms"": [""EH17"", ""E23p""]}"
768,1107,1,0.9999,"{""z"": 72, ""m"": 383, ""delta"": 21, ""l"": 362, ""pp_tau"": 16, ""pp_t"": 12, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
768,1109,1,0.999,"{""z"": 72, ""m"": 383, ""delta"": 20, ""l"": 363, ""pp_tau"": 11, ""pp_t"": 12, ""pp_complexity"": 19.1, ""algorithms"": [""EH17"", ""E23p""]}"
768,767,3,0.99,"{""z"": 72, ""m"": 383, ""s"": 2, ""l"": 192, ""algorithms"": [""EH17"", ""E20""]}"
768,639,4,0.99,"{""z"": 72, ""m"": 383, ""s"": 3, ""l"": 128, ""algorithms"": [""EH17"", ""E20""]}"
768,575,5,0.99,"{""z"": 72, ""m"": 383, ""s"": 4, ""l"": 96, ""algorithms"": [""EH17"", ""E20""]}"
768,537,6,0.99,"{""z"": 72, ""m"": 383, ""s"": 5, ""l"": 77, ""algorithms"": [""EH17"", ""E20""]}"
768,511,7,0.99,"{""z"": 72, ""m"": 383, ""s"": 6, ""l"": 64, ""algorithms"": [""EH17"", ""E20""]}"
768,493,9,0.99,"{""z"": 72, ""m"": 383, ""s"": 7, ""l"": 55, ""algorithms"": [""EH17"", ""E20""]}"
