modulus_bitlength,num_input_qubits,num_shots,pp_success_probability,details
512,665,1,0.999,"{""z"": 56, ""m"": 255, ""delta"": 50, ""l"": 205, ""pp_tau"": 11, ""pp_t"": 27, ""pp_complexity"": 34.1, ""algorithms"": [""EH17"", ""E23p""]}"
512,705,1,0.9999,"{""z"": 56, ""m"": 255, ""delta"": 30, ""l"": 225, ""pp_tau"": 16, ""pp_t"": 17, ""pp_complexity"": 26.6, ""algorithms"": [""EH17"", ""E23p""]}"
512,723,1,0.9999,"{""z"": 56, ""m"": 255, ""delta"": 21, ""l"": 234, ""pp_tau"": 16, ""pp_t"": 12, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
512,725,1,0.999,"{""z"": 56, ""m"": 255, ""delta"": 20, ""l"": 235, ""pp_tau"": 11, ""pp_t"": 12, ""pp_complexity"": 19.1, ""algorithms"": [""EH17"", ""E23p""]}"
768,1049,1,0.999,"{""z"": 72, ""m"": 383, ""delta"": 50, ""l"": 333, ""pp_tau"": 11, ""pp_t"": 27, ""pp_complexity"": 34.1, ""algorithms"": [""EH17"", ""E23p""]}"
768,1089,1,0.9999,"{""z"": 72, ""m"": 383, ""delta"": 30, ""l"": 353, ""pp_tau"": 16, ""pp_t"": 17, ""pp_complexity"": 26.6, ""algorithms"": [""EH17"", ""E23p""]}"
768,1107,1,0.9999,"{""z"": 72, ""m"": 383, ""delta"": 21, ""l"": 362, ""pp_tau"": 16, ""pp_t"": 12, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
768,1109,1,0.999,"{""z"": 72, ""m"": 383, ""delta"": 20, ""l"": 363, ""pp_tau"": 11, ""pp_t"": 12, ""pp_complexity"": 19.1, ""algorithms"": [""EH17"", ""E23p""]}"
1024,1433,1,0.999,"{""z"": 80, ""m"": 511, ""delta"": 50, ""l"": 461, ""pp_tau"": 11, ""pp_t"": 27, ""pp_complexity"": 34.1, ""algorithms"": [""EH17"", ""E23p""]}"
1024,1473,1,0.9999,"{""z"": 80, ""m"": 511, ""delta"": 30, ""l"": 481, ""pp_tau"": 16, ""pp_t"": 17, ""pp_complexity"": 26.6, ""algorithms"": [""EH17"", ""E23p""]}"
1024,1491,1,0.9999,"{""z"": 80, ""m"": 511, ""delta"": 21, ""l"": 490, ""pp_tau"": 16, ""pp_t"": 12, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
1024,1493,1,0.999,"{""z"": 80, ""m"": 511, ""delta"": 20, ""l"": 491, ""pp_tau"": 11, ""pp_t"": 12, ""pp_complexity"": 19.1, ""algorithms"": [""EH17"", ""E23p""]}"
1536,2201,1,0.999,"{""z"": 96, ""m"": 767, ""delta"": 50, ""l"": 717, ""pp_tau"": 11, ""pp_t"": 27, ""pp_complexity"": 34.1, ""algorithms"": [""EH17"", ""E23p""]}"
1536,2241,1,0.9999,"{""z"": 96, ""m"": 767, ""delta"": 30, ""l"": 737, ""pp_tau"": 16, ""pp_t"": 17, ""pp_complexity"": 26.6, ""algorithms"": [""EH17"", ""E23p""]}"
1536,2259,1,0.9999,"{""z"": 96, ""m"": 767, ""delta"": 21, ""l"": 746, ""pp_tau"": 16, ""pp_t"": 12, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
1536,2261,1,0.999,"{""z"": 96, ""m"": 767, ""delta"": 20, ""l"": 747, ""pp_tau"": 11, ""pp_t"": 12, ""pp_complexity"": 19.1, ""algorithms"": [""EH17"", ""E23p""]}"
2048,2969,1,0.999,"{""z"": 112, ""m"": 1023, ""delta"": 50, ""l"": 973, ""pp_tau"": 11, ""pp_t"": 27, ""pp_complexity"": 34.1, ""algorithms"": [""EH17"", ""E23p""]}"
2048,3009,1,0.9999,"{""z"": 112, ""m"": 1023, ""delta"": 30, ""l"": 993, ""pp_tau"": 16, ""pp_t"": 17, ""pp_complexity"": 26.6, ""algorithms"": [""EH17"", ""E23p""]}"
2048,3027,1,0.9999,"{""z"": 112, ""m"": 1023, ""delta"": 21, ""l"": 1002, ""pp_tau"": 16, ""pp_t"": 12, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
